timestamp,name,symbol,price,change_24h,market_cap
2026-09-11 12:17:40,CoinMarketCap 20 Index DTF,CMC20,$159.28,1.41%,$5.62M
2026-09-11 12:17:40,Bitcoin,BTC,"$77,197.89",1.32%,$1.55T
2026-09-11 12:17:40,Ethereum,ETH,"$2,465.26",0.43%,$300.93B
2026-09-11 12:17:40,Tether,USDT,$0.9995,0.02%,$183.38B
2026-09-11 12:17:40,BNB,BNB,$714.60,0.54%,$95.15B
2026-09-11 12:17:40,XRP,XRP,$1.35,2.50%,$84.93B
2026-09-11 12:17:40,USDC,USDC,$0.9998,0.02%,$74.15B
2026-09-11 12:17:40,Solana,SOL,$99.67,1.97%,$58.46B
2026-09-11 12:17:40,TRON,TRX,$0.3388,0.29%,$32.16B
2026-09-11 12:17:40,Hyperliquid,HYPE,$79.63,4.80%,$20.05B
